Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
33.3,11612866804,36084,321828.7,2565.0,1022,10411119849,54932591.0,read
28.1,9795283345,16,612205209.1,45761.0,12534,7072568877,1844434959.8,sem_wait
27.8,9708954420,141,68857832.8,100112819.0,1473,796913657,83190767.5,poll
6.9,2397360860,18486,129685.2,124586.0,5631,3351076,67233.6,open64
1.5,538309091,1472,365699.1,24000.5,1403,48682632,2107323.1,ioctl
0.8,267850320,40153,6670.7,4388.0,3166,27218787,182499.0,munmap
0.5,162172679,40520,4002.3,3286.0,2505,3502984,24944.5,mmap64
0.4,153582055,17856,8601.1,8296.0,1002,212663,3048.2,close
0.3,91010157,3,30336719.0,127371.0,1954,90880832,52432777.4,waitpid
0.2,63075223,385,163831.7,104859.0,45535,4037915,259999.6,pthread_create
0.1,48130977,771,62426.7,60385.0,25728,134845,8611.0,sleep
0.0,16631162,1318,12618.5,17413.0,1102,118304,11402.7,fgets
0.0,10121348,2,5060674.0,5060674.0,5060659,5060689,21.2,nanosleep
0.0,2121902,1,2121902.0,2121902.0,2121902,2121902,0.0,pthread_mutex_lock
0.0,1741483,104,16745.0,11752.0,4980,74952,13785.2,fopen
0.0,1605155,2,802577.5,802577.5,710884,894271,129674.2,pthread_cond_wait
0.0,1532753,34,45081.0,10149.5,7133,282624,71439.0,fopen64
0.0,1195570,64,18680.8,10660.0,5620,168579,26923.2,mmap
0.0,928131,106,8756.0,7128.0,4819,23875,3977.3,fclose
0.0,867389,72,12047.1,8340.5,2024,42100,10044.4,write
0.0,747101,22,33959.1,31559.5,16621,62007,11977.8,sem_timedwait
0.0,716849,100,7168.5,5706.0,1002,108405,11519.7,pthread_cond_signal
0.0,505091,33,15305.8,13245.0,5992,40878,8748.2,open
0.0,149552,9,16616.9,13325.0,8116,33233,7818.1,socket
0.0,132590,4,33147.5,22116.5,14878,73479,27281.5,connect
0.0,110519,14,7894.2,5986.5,3356,16671,4211.6,pipe2
0.0,73591,5,14718.2,13927.0,5942,22943,6898.3,fread
0.0,71747,5,14349.4,19527.0,2555,26681,10793.7,bind
0.0,49754,10,4975.4,4609.0,3637,7303,1146.8,statx
0.0,45068,27,1669.2,1382.0,1012,4349,816.9,fcntl
0.0,26009,17,1529.9,1163.0,1002,4338,1011.4,pthread_cond_broadcast
0.0,25258,11,2296.2,2013.0,1382,4459,901.8,sigaction
0.0,22389,9,2487.7,2014.0,1092,7263,1858.3,fflush
0.0,16511,4,4127.8,4232.5,3277,4769,629.4,fwrite
0.0,9217,1,9217.0,9217.0,9217,9217,0.0,openat64
0.0,8467,6,1411.2,1402.5,1092,1694,205.2,dup
0.0,4689,2,2344.5,2344.5,2314,2375,43.1,getentropy
0.0,3386,2,1693.0,1693.0,1503,1883,268.7,listen
0.0,3027,2,1513.5,1513.5,1283,1744,326.0,fileno
